Product,Rating,Review,Sentiment
iPhone 15,5,Amezing  camera and all over best phone👌,Positive
iPhone 15,5,"Fully satisfied using iphone❤️
But battery drains fast as compared to any other phone..",Positive
iPhone 15,5,Switch from OnePlus to iPhone I am stunned with camera performance. Everything is perfect on  iPhone 15.,Positive
iPhone 15,5,Using this Iphone 15 from 1month and it has best Camera,Positive
iPhone 15,5,"Awesome product very happy to hold this. Better In hand feel,matte finish. 
Good camera, Brighter screen with Dynamic Island, USB-C, great battery life.

60Hz display is a dealbreaker for some.Its not...",Positive
iPhone 15,5,High quality camera😍,Positive
iPhone 15,5,"Just loved the product , colour , design is wow and camera is amazing , just clicked first picture of my grandmother 👵🏻  in portrait mode and results r here in front of you guys 😍😘",Positive
iPhone 15,5,"best camera and battery is also very good 
In love with dynamic Island 
Type-c charging is very fast. 
Overall best phone",Positive
iPhone 15,5,I love this phone. The camera is amazing: its I am so happy,Positive
iPhone 15,5,Just go for it.Amazing one.Beautiful camera with super fast processor,Positive
iPhone 15,5,"Best mobile phone
Camera quality is very nice 
Battery backup is very good 
Sound quality is amazing.",Positive
iPhone 15,5,"i ❤️ iphone ❤️❤️❤️😍😍😍 Thank You 

My Sister Gifted 

Flipkart..!!❤️❤️❤️💓💓🥰🥰😍😍😍",Positive
iPhone 15,5,This is my first iphone ever used loving it already this is worth it 🥰,Positive
iPhone 15,5,Nice phone good,Positive
iPhone 15,5,Awesome phone powerful performance and battery backup are also very good no heating issue ☺️,Positive
iPhone 15,5,"The iPhone 15 exceeded my expectations in every way possible. The sleek design, stunning display, and lightning-fast performance make it a standout device in the smartphone market. The camera quality ...",Positive
iPhone 15,5,Camera is just wow. All classes clicks are done at night....phone Performance is awesome.... I'm writing now again for review...it's really maintained its premium image,Positive
iPhone 15,5,"I have recently switched from Android to ios, it does feel very strange at the beginning but now I am getting habitual to the ios
It is really very nice and feels premium. The camera is also very nice...",Positive
iPhone 15,5,A Perfect Smartphone 😍❤️👌👌,Positive
iPhone 15,5,"I was sceptical of online purchase but I was wrong I got what I ordered 
Best phone ever",Positive
iPhone 15,5,"Switch from android to iPhone😍
Just wow. Camera and battery backup is outstanding for daily use",Positive
iPhone 15,5,I recently went on a trip with a friend who has S24 ultra but somehow we ended up clicking all the pictures with my Iphone 15. The camera is that good.,Positive
iPhone 15,5,"48 megapixel is lit🔥
Thin bessels compared to 14
Lesser in weight
Dynamic Island works perfectly
Good battery backup ⚡
My rating 5/5",Positive
iPhone 15,5,Best phone ever,Positive
iPhone 15,5,It's performance is super and nice camera also a ok battery backup..,Positive
iPhone 15,5,"Great Experience Flipkart I am giving 10 of 10 Camera, Sound, Screen... Transportation Mi note 9 pro Max to Iphone 15 .",Positive
iPhone 15,5,"Best phone i have ever used in terms of performance, photography and other features.",Positive
iPhone 15,5,"Just upgraded from iphone 12 to 15 and I totally loved this 15 series.
Camera:- No doubt iphones camera are best of any other smartphone, primary camera is now 48mp which gives quite sharp images, 2x ...",Positive
iPhone 15,5,"Camera is good but not too good like other camera phone.
Performance is good but missed 90hz display.
Battery is good enough for a day use.
Sound is quite awesome like no other phones
Rest phone is go...",Positive
iPhone 15,5,Very nice product☺️☺️we loved the phone very much,Positive
iPhone 15,5,Telephone: 044-45614700 / 044-67415800,Neutral
Samsung S24,5,"The phone offers exceptional performance.
The camera's capabilities are impressive.
The user interface is highly intuitive.
It is exceptionally user-friendly.",Positive
Samsung S24,5,Camera is just wow looking it everything is best but the battery is the real problem of this problem,Positive
Samsung S24,5,"Powerful performance, excellent display,compact size and amazing camera making it an allrounder phone. The only drawback is battery life.",Positive
Samsung S24,5,"It's camera, galaxy AI features,circle to search,high peak brightness, telephoto camera,more customization options, display,samsung inbuit apps,privacy features, sound quality i could say I'm obsessed...",Negative
Samsung S24,5,"After using S24 for 4 days am writing this review overall a good compact and a handy phone if you want a beast camera, clean UI, battery backup is slightly less but it's okay for average use if you wa...",Positive
Samsung S24,5,"There is no need for further elaboration. The provided images effectively showcase the excellent camera capabilities of this phone. However, in practical daily use, the device experiences battery back...",Positive
Samsung S24,5,"Best phone under 40k. Superb camera, display, processor. Compact and handy. Battery should be better. Other than this, all the features are awesome.",Positive
Samsung S24,5,"Best flagship smartphone under this price 👌 
Nice camera 📷 
Good performance 
Best display 👌 
Battery- it lasts almost full day for normal user.",Positive
Samsung S24,5,"Camera qulity and build qulity , sound qulity of this phon is oustanding. But normal hitting isshue experiance in this phone",Positive
Samsung S24,5,"Excellent product and  worth it to buy , if there is an option to choose iphone15or16 and s24 then i would go with s24",Positive
Samsung S24,5,One of the Best camera phone .,Positive
Samsung S24,5,I feel the phone is getting hot very fastly apart from that camera and performance is good,Positive
Samsung S24,5,"Good compact phone and having good camera but facing issu in battery because it's 4000 mah and it's not lasting for whole day. I have to carry power bank.

I am sharing sample of photos.. it's light b...",Positive
Samsung S24,5,"Superb phone
Compact monster 💥 
Little power house💥
Nice camera😍
Top display 🫰
Battery back is average 👎😢",Positive
Samsung S24,5,"Like others, I was also initially concerned about its smaller battery capacity and slow charging speed before buying it. 

But one thing I would like to mention for whoever is planning to buy it now (...",Negative
Samsung S24,5,Very nice phone,Positive
Samsung S24,5,Battery performance is poor apart from battery for all specifications mobile is good,Positive
Samsung S24,5,"This phone is very awesome all over performance, camera, look, build quality is very good, only samsung should provide more battery capacity with this phone...Overall all is great !",Positive
Samsung S24,5,"I held this phone for the first time, and I was really appreciative of this product because it's an amazing phone in this segment.

Camera: 5/5
Display: 5/5
Performance: 5/5
Design: 5/5
Value for money: 5/5",Positive
Samsung S24,5,I got the phone today the behaviour of delivery agent was awesome... for now i can only say good compact phone with awesome camera and processor a bit dissapointed with the battery and heating issue.....,Positive
Samsung S24,5,"This phone is a beast! It's super fast, the screen is stunning, and the cameras are top-notch. The new Galaxy AI features are actually very practical. Fits perfectly in the hand and pocket. The batter...",Positive
